autumn,spring,code,winter,summer
0,0,CHEMENG 25E,23,0
0,0,CHEMENG 35N,0,0
12,0,CHEMENG 60Q,0,0
12,0,CHEMENG 70Q,0,0
0,0,CHEMENG 80Q,0,0
33,0,CHEMENG 100,0,0
0,0,CHEMENG 110,30,0
0,0,CHEMENG 120A,30,0
0,29,CHEMENG 120B,0,0
0,35,CHEMENG 130,0,0
0,0,CHEMENG 140,26,0
0,18,CHEMENG 142,0,0
0,0,CHEMENG 150,47,0
0,0,CHEMENG 160,0,0
18,0,CHEMENG 162,0,0
42,0,CHEMENG 170,0,0
4,0,CHEMENG 174,0,0
0,42,CHEMENG 180,0,0
64,0,CHEMENG 181,0,0
0,0,CHEMENG 183,20,0
43,0,CHEMENG 185A,0,0
0,0,CHEMENG 185B,41,0
11,7,CHEMENG 190,8,0
3,3,CHEMENG 190H,5,0
4,5,CHEMENG 191H,4,0
3,0,CHEMENG 196,0,0
0,0,CHEMENG 240,19,0
0,31,CHEMENG 242,0,0
0,0,CHEMENG 260,0,0
5,0,CHEMENG 262,0,0
9,0,CHEMENG 274,0,0
4,0,CHEMENG 281,0,0
0,0,CHEMENG 283,3,0
28,0,CHEMENG 296,0,0
35,0,CHEMENG 300,0,0
0,0,CHEMENG 310,24,0
0,48,CHEMENG 320,0,0
43,0,CHEMENG 340,0,0
0,0,CHEMENG 345,54,0
0,43,CHEMENG 355,0,0
27,0,CHEMENG 399,23,0
6,0,CHEMENG 410,0,0
0,0,CHEMENG 420,0,0
0,0,CHEMENG 432,60,0
0,0,CHEMENG 442,0,0
0,0,CHEMENG 444,12,0
0,0,CHEMENG 450,0,0
0,0,CHEMENG 454,0,0
0,0,CHEMENG 456,5,0
7,12,CHEMENG 459,8,0
0,0,CHEMENG 462,0,0
29,0,CHEMENG 464,0,0
0,0,CHEMENG 466,17,0
0,0,CHEMENG 469,0,0
0,0,CHEMENG 470,0,0
7,0,CHEMENG 482,0,0
0,0,CHEMENG 484,2,0
7,8,CHEMENG 500,10,0
4,4,CHEMENG 501,5,0
2,3,CHEMENG 503,2,0
4,4,CHEMENG 505,3,1
2,2,CHEMENG 507,2,0
3,2,CHEMENG 510,3,0
5,5,CHEMENG 513,5,1
4,5,CHEMENG 514,5,0
2,0,CHEMENG 515,2,0
10,11,CHEMENG 516,8,0
0,0,CHEMENG 517,0,0
10,9,CHEMENG 518,10,0
6,10,CHEMENG 519,5,0
4,4,CHEMENG 520,3,1
0,3,CHEMENG 521,0,0
64,65,CHEMENG 600,64,5
70,68,CHEMENG 699,75,0
6,3,CHEMENG 801,3,0
32,34,CHEMENG 802,32,1
0,0,CEE 1,10,0
2,7,CEE 1A,0,0
0,0,CEE 10,0,0
0,0,CEE 10A,0,0
0,0,CEE 10AX,0,0
0,0,CEE 10B,0,0
0,0,CEE 11SC,0,0
0,0,CEE 12SC,0,0
0,0,CEE 13SC,0,0
0,0,CEE 13SI,0,0
0,0,CEE 14SC,0,0
0,0,CEE 16SC,0,0
0,0,CEE 20,0,0
0,0,CEE 29N,6,0
0,0,CEE 31,8,0
0,0,CEE 31B,0,0
14,14,CEE 31Q,0,0
0,0,CEE 32A,0,0
0,0,CEE 32B,0,0
0,0,CEE 32D,0,0
0,0,CEE 32F,0,0
10,0,CEE 32G,0,0
0,0,CEE 32H,11,0
0,0,CEE 32Q,6,0
0,0,CEE 44Q,0,0
0,0,CEE 46Q,0,0
0,0,CEE 48N,0,0
0,0,CEE 50N,0,0
29,0,CEE 63,0,0
0,0,CEE 64,63,0
55,0,CEE 70,0,14
0,0,CEE 70N,0,0
0,0,CEE 73,0,6
64,0,CEE 100,0,0
0,0,CEE 101A,24,0
0,36,CEE 101B,0,0
17,0,CEE 101C,0,0
9,0,CEE 101D,0,0
0,0,CEE 101S,0,12
0,0,CEE 102,12,0
0,0,CEE 107S,0,2
0,0,CEE 109,0,0
0,0,CEE 110A,0,0
0,0,CEE 112A,4,0
0,2,CEE 112B,0,0
0,0,CEE 112C,0,0
0,0,CEE 112D,0,0
0,0,CEE 113,0,0
0,0,CEE 115,0,0
7,0,CEE 120A,0,0
0,0,CEE 120B,1,0
0,3,CEE 120C,1,0
0,3,CEE 120S,5,0
0,0,CEE 122A,4,0
0,3,CEE 122B,0,0
0,0,CEE 124,0,0
0,0,CEE 127A,0,0
0,0,CEE 127E,0,0
1,0,CEE 129,0,0
0,0,CEE 129S,0,0
8,0,CEE 130,7,0
0,0,CEE 131,0,0
0,0,CEE 131A,3,0
0,7,CEE 131B,0,0
0,0,CEE 132,0,0
0,0,CEE 132Q,0,0
0,0,CEE 133,0,0
0,9,CEE 133F,0,0
0,0,CEE 134A,0,0
6,0,CEE 134B,4,0
0,0,CEE 135,0,0
0,0,CEE 135A,0,0
0,0,CEE 136,0,0
0,0,CEE 137A,0,0
0,9,CEE 137B,0,0
0,0,CEE 138A,0,0
0,8,CEE 139,0,0
0,0,CEE 140,0,0
4,0,CEE 141A,0,0
0,0,CEE 141B,9,0
0,6,CEE 141C,0,0
0,0,CEE 142A,0,0
0,14,CEE 144,0,0
0,0,CEE 146A,47,0
0,0,CEE 147,0,0
0,25,CEE 151,0,0
0,0,CEE 154,0,0
0,0,CEE 155,11,0
0,0,CEE 156,23,0
0,11,CEE 160,0,0
7,0,CEE 161A,0,0
0,0,CEE 164,13,0
0,0,CEE 165C,0,4
8,0,CEE 166A,0,0
0,0,CEE 166B,5,0
0,0,CEE 166D,8,0
0,0,CEE 169,0,0
0,0,CEE 171,17,0
0,0,CEE 171E,0,0
0,0,CEE 171F,0,9
0,0,CEE 172,22,0
0,0,CEE 172A,0,0
0,0,CEE 172S,0,0
41,0,CEE 173A,0,0
0,0,CEE 173C,0,0
22,0,CEE 174A,0,0
0,0,CEE 174B,15,0
0,0,CEE 175A,0,0
0,0,CEE 175S,0,20
0,0,CEE 176A,73,0
0,56,CEE 176B,0,0
0,0,CEE 176C,0,0
6,0,CEE 176D,0,0
0,0,CEE 176F,0,0
0,0,CEE 176S,0,0
31,0,CEE 177,0,0
0,0,CEE 177K,0,0
0,0,CEE 177L,0,24
0,19,CEE 177S,0,0
0,0,CEE 177X,21,0
0,2,CEE 178,0,0
0,0,CEE 179A,4,0
0,5,CEE 179C,0,0
0,0,CEE 179S,0,7
0,2,CEE 179X,0,0
20,0,CEE 180,0,0
23,0,CEE 181,0,0
0,0,CEE 182,20,0
0,15,CEE 183,0,0
0,0,CEE 195,0,0
0,0,CEE 196,0,0
1,0,CEE 198,1,0
6,2,CEE 199,8,0
1,2,CEE 199A,0,0
0,0,CEE 199B,1,0
0,0,CEE 199E,0,0
0,0,CEE 199H,0,0
0,0,CEE 199L,12,0
13,0,CEE 200A,0,0
0,0,CEE 200B,7,0
0,10,CEE 200C,0,0
16,0,CEE 201D,0,0
0,0,CEE 201S,0,6
0,0,CEE 202,17,0
50,0,CEE 203,0,0
0,20,CEE 204,0,0
0,0,CEE 205A,0,0
0,21,CEE 205B,0,0
0,0,CEE 206,0,0
0,0,CEE 206A,0,0
67,0,CEE 207A,0,0
0,0,CEE 207S,0,4
0,0,CEE 208,0,0
0,0,CEE 209,12,0
0,0,CEE 210A,0,0
0,0,CEE 212A,7,0
0,9,CEE 212B,0,0
0,0,CEE 212C,0,0
1,0,CEE 212D,0,0
0,0,CEE 213,0,0
0,0,CEE 214,0,0
0,0,CEE 215,0,0
0,0,CEE 217,0,0
36,0,CEE 220A,0,0
0,13,CEE 220B,12,0
0,3,CEE 220C,1,0
2,11,CEE 220S,9,0
0,0,CEE 221A,0,0
0,0,CEE 222A,13,0
0,13,CEE 222B,0,0
0,0,CEE 223,0,0
0,0,CEE 223A,10,0
15,5,CEE 224A,12,0
0,0,CEE 225,0,0
72,0,CEE 226,0,0
0,35,CEE 226E,0,0
0,0,CEE 227,33,0
0,0,CEE 227A,0,0
0,0,CEE 227E,0,0
0,0,CEE 228,0,0
0,0,CEE 228C,0,0
7,0,CEE 229,0,0
0,0,CEE 229S,0,0
0,0,CEE 232,0,0
0,0,CEE 233,0,0
0,0,CEE 234B,0,0
0,0,CEE 236,0,0
0,0,CEE 237B,0,0
37,0,CEE 241,0,0
21,0,CEE 241A,0,0
0,0,CEE 241B,12,0
0,51,CEE 241C,0,0
0,0,CEE 241P,0,0
3,0,CEE 241T,0,0
0,0,CEE 242A,0,0
0,0,CEE 242P,0,0
0,0,CEE 242T,16,0
40,0,CEE 244,0,0
0,27,CEE 244A,0,0
0,0,CEE 245A,0,0
0,40,CEE 246,0,0
0,0,CEE 246A,32,0
0,0,CEE 246A,0,0
0,32,CEE 246B,0,0
0,0,CEE 247,0,0
0,0,CEE 247A,0,0
0,0,CEE 248,0,0
0,0,CEE 248G,0,0
0,29,CEE 248S,0,0
0,0,CEE 249,10,0
0,25,CEE 251,0,0
0,0,CEE 252,0,0
17,0,CEE 252P,0,0
10,0,CEE 252Q,0,0
0,0,CEE 253A,0,0
0,0,CEE 254,0,0
0,0,CEE 255,4,0
0,0,CEE 256,23,0
39,0,CEE 258,0,0
0,0,CEE 258B,0,0
1,0,CEE 259A,0,0
0,0,CEE 259B,0,0
15,0,CEE 260A,0,0
4,0,CEE 260B,0,0
0,0,CEE 260C,7,0
18,0,CEE 262A,0,0
0,0,CEE 262B,8,0
0,15,CEE 262C,0,0
0,0,CEE 262D,37,0
0,0,CEE 262E,0,0
0,14,CEE 262F,0,0
0,0,CEE 263A,0,0
0,25,CEE 263B,0,0
23,0,CEE 263C,0,0
0,0,CEE 263D,19,0
14,25,CEE 263S,21,0
0,0,CEE 264,8,0
21,0,CEE 264A,0,0
0,24,CEE 265A,0,0
0,0,CEE 265C,0,6
0,22,CEE 265D,0,0
24,0,CEE 266A,0,0
0,0,CEE 266B,18,0
0,10,CEE 266C,0,0
0,0,CEE 266D,20,0
0,0,CEE 268,0,0
11,0,CEE 269A,0,0
0,0,CEE 269B,20,0
0,19,CEE 269C,0,0
62,0,CEE 270,0,0
0,30,CEE 270B,0,0
0,0,CEE 271A,40,0
0,0,CEE 271B,34,0
0,15,CEE 271D,0,0
0,0,CEE 271E,0,0
0,0,CEE 271F,0,3
0,0,CEE 271M,4,0
19,0,CEE 272,0,0
0,30,CEE 272R,0,0
0,0,CEE 272S,0,0
6,9,CEE 272T,10,0
0,0,CEE 272W,0,0
28,0,CEE 273,0,0
0,0,CEE 273A,5,0
0,0,CEE 273C,0,0
0,0,CEE 273C,0,0
0,0,CEE 273D,0,0
0,0,CEE 273S,0,0
26,0,CEE 274A,0,0
0,0,CEE 274B,4,0
0,14,CEE 274D,0,0
0,0,CEE 274E,0,0
0,17,CEE 274P,0,0
0,0,CEE 274S,0,0
0,0,CEE 275A,0,0
0,0,CEE 275B,0,0
0,0,CEE 275C,0,0
0,0,CEE 275K,36,0
0,0,CEE 275S,0,5
0,26,CEE 276,0,0
24,0,CEE 276C,0,0
0,0,CEE 276E,0,0
0,0,CEE 276F,0,0
0,0,CEE 276S,0,2
0,0,CEE 277C,0,0
0,0,CEE 277D,0,0
1,0,CEE 277F,0,0
0,0,CEE 277K,0,0
0,0,CEE 277L,0,11
0,11,CEE 277S,0,0
0,0,CEE 277X,12,0
38,0,CEE 278A,0,0
0,0,CEE 278B,0,0
0,0,CEE 278C,0,0
10,35,CEE 279,11,0
0,0,CEE 279S,0,5
7,0,CEE 279W,0,0
0,5,CEE 279X,0,0
43,0,CEE 280,0,0
0,0,CEE 281,25,0
0,0,CEE 282,33,0
0,0,CEE 283,73,0
0,8,CEE 284,0,0
50,0,CEE 285A,0,0
0,0,CEE 285B,29,0
0,37,CEE 287,0,0
0,0,CEE 288,32,0
0,0,CEE 289,0,0
0,14,CEE 290,0,0
10,0,CEE 291,0,0
0,0,CEE 292,0,0
0,0,CEE 293,8,0
0,0,CEE 294,0,0
0,15,CEE 295,0,0
0,0,CEE 296,0,0
0,0,CEE 297,0,0
0,8,CEE 297M,0,0
0,0,CEE 297Q,0,0
4,0,CEE 297R,0,0
0,0,CEE 298,67,0
45,45,CEE 299,49,0
1,2,CEE 299L,2,0
3,4,CEE 299S,1,0
4,3,CEE 300,4,0
22,18,CEE 301,26,0
0,31,CEE 305,0,0
0,10,CEE 306,0,0
0,0,CEE 316,0,0
0,3,CEE 320,2,0
0,0,CEE 321,0,0
10,0,CEE 322,0,0
17,0,CEE 323A,0,0
0,0,CEE 323B,13,0
0,19,CEE 323C,0,0
0,0,CEE 328A,13,0
0,0,CEE 342,0,0
0,0,CEE 345,0,0
0,0,CEE 361,0,0
0,0,CEE 362,0,0
0,0,CEE 362G,0,0
0,0,CEE 362H,0,0
0,0,CEE 363A,0,0
0,0,CEE 363C,0,0
0,0,CEE 363F,0,0
0,0,CEE 363G,0,0
0,0,CEE 364F,0,0
0,0,CEE 364Y,0,0
8,0,CEE 365A,0,0
0,0,CEE 365B,7,0
0,6,CEE 365C,0,0
0,0,CEE 365D,0,0
2,0,CEE 370A,0,0
0,0,CEE 370B,2,0
0,0,CEE 370C,0,0
0,0,CEE 370D,0,0
0,0,CEE 371,0,0
0,0,CEE 371L,1,0
0,0,CEE 371M,0,0
0,0,CEE 374A,0,0
0,0,CEE 374B,0,0
0,0,CEE 374C,0,0
0,0,CEE 374D,0,0
0,1,CEE 374S,0,0
0,0,CEE 374T,0,0
0,0,CEE 374U,0,0
0,0,CEE 374V,0,0
1,1,CEE 374W,1,0
0,0,CEE 374X,0,0
0,0,CEE 375,0,0
0,0,CEE 377,0,0
0,0,CEE 378,0,0
0,0,CEE 378D,0,0
1,1,CEE 381,0,0
18,0,CEE 385,0,0
12,0,CEE 386,0,0
4,2,CEE 398,3,11
53,57,CEE 399,52,2
11,8,CEE 400,8,1
2,1,CEE 801,1,0
39,41,CEE 802,43,1
0,0,CME 20Q,7,0
268,116,CME 100,0,0
41,14,CME 100A,0,0
43,36,CME 102,181,5
3,3,CME 102A,28,0
19,0,CME 103,0,0
0,84,CME 104,0,0
0,0,CME 104A,0,0
0,0,CME 106,148,14
0,0,CME 108,25,8
0,32,CME 151,17,0
0,4,CME 181,0,0
0,0,CME 184,0,0
60,56,CME 192,44,0
28,74,CME 193,46,0
0,18,CME 194,0,0
9,17,CME 195,0,0
0,11,CME 196,12,0
71,0,CME 200,0,0
0,0,CME 204,43,0
7,19,CME 206,0,0
89,0,CME 211,0,0
0,0,CME 212,51,0
0,40,CME 213,0,0
0,0,CME 213B,5,0
5,0,CME 214,0,0
0,0,CME 215A,1,0
0,0,CME 215B,0,0
0,0,CME 232,0,1
0,0,CME 239B,0,0
1,0,CME 242,0,0
0,0,CME 243,0,0
0,0,CME 244,0,0
12,0,CME 245,5,0
0,119,CME 250,80,0
6,0,CME 263,0,4
2,3,CME 291,3,0
7,20,CME 292,0,0
22,10,CME 300,14,0
79,0,CME 302,0,0
35,0,CME 303,0,0
0,0,CME 304,29,0
0,0,CME 305,42,0
0,30,CME 306,0,0
0,63,CME 308,0,0
15,0,CME 309,0,0
0,0,CME 321A,0,0
0,0,CME 321B,0,0
0,0,CME 322,6,0
0,66,CME 323,0,0
0,0,CME 325,0,0
0,0,CME 326,0,0
0,0,CME 327,0,0
0,0,CME 328,0,0
0,0,CME 329,0,0
2,0,CME 330,0,0
0,0,CME 334,0,0
0,0,CME 335,9,0
0,0,CME 336,3,0
0,1,CME 337,0,0
0,16,CME 338,0,0
0,0,CME 342,0,0
0,0,CME 345,0,0
0,0,CME 356,5,0
0,0,CME 358,0,0
14,0,CME 362,0,0
0,0,CME 364A,84,4
0,5,CME 364B,0,0
0,0,CME 371,0,0
0,0,CME 372,0,0
0,0,CME 375,0,0
1,2,CME 390,0,13
0,1,CME 399,1,0
43,36,CME 400,40,2
0,0,CME 444,0,0
11,8,CME 500,5,0
6,8,CME 510,10,0
0,0,CME 520,0,0
1,0,CME 801,0,0
16,14,CME 802,20,0
205,0,CS 1C,0,0
45,37,CS 1U,0,0
18,5,CS 2C,189,0
108,0,CS 9,95,0
0,0,CS 10SC,0,0
0,0,CS 12SC,0,0
8,0,CS 27,0,0
86,239,CS 42,0,0
20,0,CS 45N,0,0
16,0,CS 54N,0,0
17,0,CS 55N,0,0
0,0,CS 74N,0,0
0,0,CS 75N,0,0
6,0,CS 76N,0,0
0,15,CS 81N,0,0
18,17,CS 91SI,0,0
0,0,CS 99SI,0,0
0,108,CS 101,0,0
412,370,CS 103,130,0
0,65,CS 103A,0,0
122,0,CS 105,87,0
645,324,CS 106A,644,128
364,437,CS 106B,431,69
52,88,CS 106L,0,0
79,0,CS 106X,75,0
260,293,CS 107,199,0
0,0,CS 107E,22,0
92,0,CS 108,150,0
63,186,CS 109,213,18
3,35,CS 109L,0,0
150,237,CS 110,179,0
60,0,CS 122,0,0
0,0,CS 124,214,0
49,0,CS 131,0,0
0,0,CS 140,142,0
0,0,CS 142,292,0
0,124,CS 143,0,0
0,0,CS 144,135,0
274,0,CS 145,0,0
198,0,CS 147,0,0
102,0,CS 148,0,16
0,0,CS 149,74,0
0,0,CS 154,77,0
0,329,CS 155,0,0
59,0,CS 157,0,0
150,565,CS 161,0,46
0,0,CS 164,0,0
0,84,CS 168,0,0
0,7,CS 170,0,0
0,0,CS 173,0,0
0,0,CS 178,0,0
15,53,CS 181,24,0
69,96,CS 181W,74,0
221,0,CS 183B,0,0
0,19,CS 190,0,0
15,22,CS 191,19,0
8,11,CS 191W,3,0
1,1,CS 192,2,0
0,0,CS 193A,47,0
0,0,CS 193C,0,61
0,0,CS 193P,107,0
0,11,CS 193W,0,0
0,68,CS 194,28,0
0,0,CS 194H,16,0
0,18,CS 194W,10,0
0,31,CS 196,13,0
28,46,CS 198,41,0
37,46,CS 199,41,0
11,15,CS 199P,9,0
0,0,CS 200,0,0
0,0,CS 202,35,0
0,5,CS 204,0,0
0,104,CS 205A,0,0
0,0,CS 205B,0,0
21,0,CS 207,0,0
0,0,CS 210A,73,0
0,70,CS 210B,0,0
0,21,CS 210L,0,0
0,20,CS 211,0,0
375,0,CS 221,0,0
0,0,CS 222,0,0
0,0,CS 223A,84,0
0,173,CS 224D,0,0
0,0,CS 224M,0,0
139,0,CS 224N,0,0
0,0,CS 224S,0,0
0,90,CS 224U,0,0
205,0,CS 224W,0,0
27,26,CS 225A,0,0
0,0,CS 225B,0,0
0,0,CS 226,0,0
0,66,CS 227B,0,0
0,0,CS 228,182,0
769,0,CS 229,0,0
0,0,CS 229T,31,0
0,0,CS 231A,157,0
0,24,CS 231B,0,0
0,28,CS 231M,0,0
0,0,CS 231N,152,0
0,14,CS 232,0,0
23,0,CS 238,0,0
0,0,CS 239,2,0
0,48,CS 240,0,0
91,0,CS 242,0,0
0,0,CS 243,47,0
0,54,CS 244,0,0
86,0,CS 244B,0,0
0,0,CS 244C,0,0
0,5,CS 244E,0,0
0,0,CS 245,141,0
0,0,CS 246,338,0
0,0,CS 246H,149,0
0,0,CS 247,110,0
0,0,CS 247L,0,0
0,0,CS 248,44,0
48,0,CS 249A,0,0
0,0,CS 249B,0,0
0,24,CS 254,0,0
0,0,CS 255,143,0
21,0,CS 259D,0,0
0,78,CS 261,0,0
0,0,CS 262,42,0
0,11,CS 263,0,0
15,0,CS 264,0,0
52,0,CS 265,0,0
12,0,CS 266,0,0
0,0,CS 267,24,0
28,0,CS 268,0,0
0,0,CS 270,21,0
0,7,CS 272,0,0
30,0,CS 273A,0,0
69,0,CS 274,0,0
0,0,CS 275,7,0
0,0,CS 275A,1,0
0,1,CS 275B,0,0
0,184,CS 276,0,0
0,0,CS 277,0,0
15,0,CS 279,0,0
0,0,CS 294A,0,0
0,0,CS 294H,0,0
0,24,CS 294S,0,0
0,6,CS 294W,0,0
0,0,CS 295,0,0
21,0,CS 298,0,0
51,0,CS 300,0,0
0,0,CS 309,0,0
93,0,CS 309A,0,0
0,0,CS 315A,0,0
9,0,CS 316,0,0
0,0,CS 319,0,0
0,15,CS 323,0,0
0,14,CS 327A,0,0
0,0,CS 328,0,0
0,0,CS 329,0,0
0,0,CS 331A,0,0
0,0,CS 331B,0,0
0,0,CS 334A,24,1
0,0,CS 340,0,0
0,24,CS 341,0,0
0,0,CS 344,0,0
0,0,CS 344E,0,0
0,0,CS 344G,8,0
0,15,CS 346,0,0
0,39,CS 347,0,0
0,32,CS 348B,0,0
0,0,CS 349,0,0
0,0,CS 349C,0,0
0,0,CS 358,0,0
0,0,CS 359,0,0
0,0,CS 361A,0,0
0,0,CS 361B,0,0
0,0,CS 364A,0,0
0,0,CS 369,0,0
0,0,CS 369E,11,0
0,0,CS 371,0,0
0,15,CS 373,0,0
0,20,CS 374,0,0
0,49,CS 376,0,0
0,0,CS 377,0,0
0,18,CS 377D,0,0
0,13,CS 377E,0,0
0,0,CS 377W,0,0
0,0,CS 379,0,0
0,17,CS 379C,0,0
0,0,CS 379L,0,0
0,2,CS 390A,1,31
4,4,CS 390B,0,8
2,0,CS 390C,4,2
0,0,CS 390P,1,0
0,1,CS 390Q,0,0
0,0,CS 393,0,0
1,0,CS 395,0,0
38,43,CS 399,43,0
6,4,CS 399P,2,0
0,0,CS 402,10,0
0,0,CS 402L,0,0
0,0,CS 424M,0,0
0,0,CS 427,36,0
0,0,CS 431,0,0
0,0,CS 442,0,0
0,0,CS 448,0,0
0,0,CS 448B,0,0
0,0,CS 448I,4,0
0,0,CS 448X,0,0
13,0,CS 476A,0,0
0,0,CS 476B,4,0
79,87,CS 499,79,1
102,89,CS 499P,95,1
0,0,CS 545,105,0
33,0,CS 546,33,0
54,119,CS 547,86,0
0,0,CS 548,0,0
0,29,CS 571,0,0
3,0,CS 801,0,0
30,25,CS 802,27,0
0,0,EE 10N,0,0
0,0,EE 10SC,0,0
15,0,EE 14N,0,0
0,0,EE 15N,25,0
0,17,EE 17N,0,0
0,0,EE 21N,12,0
0,0,EE 22N,0,0
0,0,EE 23N,0,0
0,0,EE 27N,14,0
0,0,EE 41,0,0
0,22,EE 46,0,0
0,0,EE 47,0,29
8,0,EE 60N,0,0
0,86,EE 65,0,0
0,0,EE 92A,0,0
95,0,EE 100,0,0
0,0,EE 101A,98,9
0,53,EE 101B,0,0
0,0,EE 102A,99,7
0,40,EE 102B,0,0
33,0,EE 103,0,0
0,0,EE 107,0,0
45,0,EE 108,19,0
0,15,EE 109,0,0
12,0,EE 114,0,0
0,24,EE 116,0,0
0,0,EE 118,8,0
20,0,EE 122A,0,0
0,5,EE 122B,0,0
0,0,EE 124,0,0
0,0,EE 133,0,0
0,15,EE 134,0,0
0,0,EE 136,0,0
0,0,EE 142,24,0
0,0,EE 151,0,0
12,0,EE 152,0,0
0,0,EE 153,11,0
0,0,EE 168,15,0
17,0,EE 169,0,0
25,16,EE 178,0,0
0,0,EE 179,0,0
0,0,EE 180,55,0
2,1,EE 190,1,0
23,25,EE 191,25,0
0,0,EE 191A,0,0
1,0,EE 191W,0,0
0,1,EE 192X,5,0
0,0,EE 202,0,0
0,0,EE 203,96,0
0,47,EE 204,0,0
0,13,EE 204S,0,0
32,0,EE 212,0,0
0,0,EE 213,27,0
66,0,EE 214A,0,0
0,0,EE 214B,67,0
41,0,EE 216,19,8
68,0,EE 222,0,0
0,0,EE 223,37,0
0,0,EE 225,38,0
0,21,EE 228,0,0
12,0,EE 230,0,0
0,0,EE 233,0,0
12,0,EE 234,0,0
28,0,EE 236A,0,0
0,0,EE 236AL,0,0
0,0,EE 236B,26,0
0,19,EE 236C,0,0
0,16,EE 237,0,0
0,29,EE 242,0,0
0,0,EE 243,12,0
0,0,EE 247,0,0
0,0,EE 248,0,0
25,0,EE 251,0,0
0,0,EE 252,14,0
0,0,EE 253,22,0
0,20,EE 254,0,0
